"1. If you are happy to proceed with the experiment, please click below to provide your consent.","2. Please enter your Prolific ID to continue:","3. Please tell us whether you identify as a:","4. How old are you?","5. Please indicate which hand you use for the following activities or objects:","5.1. Writing","5.2. Drawing","5.3. Throwing","5.4. Scissors","5.5. Toothbrush","5.6. Knife (without fork)","5.7. Spoon","5.8. Broom (upper hand)","5.9. Striking match (match)","5.10. Opening box (lid)","CompletionDate"
"I give my consent to take part in the experiment","5acc65f668b65b00018db322","Woman","43",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually left","2022-12-06 09:51:29 UTC"
"I give my consent to take part in the experiment","5c681639b65acc0001efc537","Woman","29",,"Always right","Always right","Always right","Always right","Usually right","Always left","Always right","Always right","Always right","Always right","2022-12-06 10:16:28 UTC"
"I give my consent to take part in the experiment","60fe7c857e049641f422a6f4","Woman","29",,"Always right","Always right","Usually right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","2022-12-06 10:18:28 UTC"
"I give my consent to take part in the experiment","6159bec91e6d099cb2b032fc","Woman","30",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","2022-12-06 10:18:37 UTC"
"I give my consent to take part in the experiment","614dbb81ea24d2da32ec141f","Woman","39",,"Always right","Always right","Always right","Always right","Always right","Usually right","Always right","Both equally","Both equally","Both equally","2022-12-06 10:23:46 UTC"
"I give my consent to take part in the experiment","614dbb81ea24d2da32ec141f","Woman","39",,"Always right","Always right","Always right","Always right","Both equally","Both equally","Always right","Both equally","Always right","Both equally","2022-12-06 10:37:33 UTC"
"I give my consent to take part in the experiment","5febbfa2a4d824cf3d607196","Woman","20",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","Both equally","2022-12-06 11:17:58 UTC"
"I give my consent to take part in the experiment","5febbfa2a4d824cf3d607196","Woman","20",,"Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","2022-12-06 11:21:43 UTC"
"I give my consent to take part in the experiment","603d0e0e5b0386b034e93bf5","Woman","26",,"Always right","Always right","Usually right","Always right","Usually right","Always right","Always right","Always right","Always right","Always right","2022-12-06 11:37:52 UTC"
"I give my consent to take part in the experiment","5f3aee04e30eac7cb73b416e","Man","26",,"Always right","Always right","Usually right","Always right","Always right","Always right","Always right","Always right","Always right","Usually right","2022-12-06 16:53:20 UTC"
